MC,NC,KC,GFLOPS
448,448,960,1355.53
448,448,976,1070.23
448,448,992,981.359
448,448,1008,1178.19
480,480,16,1073.31
480,480,32,1049.34
480,480,48,1255.68
480,480,64,1013.54
480,480,80,1045.39
480,480,96,1334.74
480,480,112,1079.9
480,480,128,1016.01
480,480,144,1441.23
480,480,160,1035.73
480,480,176,1148.48
480,480,192,1083.13
480,480,208,1361.31
480,480,224,1314.46
480,480,240,1099.88
480,480,256,1442.47
480,480,272,1325.22
480,480,288,971.299
480,480,304,1308.08
480,480,320,1319.97
480,480,336,1162.72
480,480,352,1234.3
480,480,368,1306.85
480,480,384,1065.36
480,480,400,1432.36
480,480,416,1314.59
480,480,432,1091.06
480,480,448,1379.22
480,480,464,1320.74
480,480,480,1147.67
480,480,496,1385.55
480,480,512,1107.28
480,480,528,1078.66
480,480,544,1310.46
480,480,560,1216.31
480,480,576,1124.6
480,480,592,1060.15
480,480,608,1441.75
480,480,624,1248.48
480,480,640,973.381
480,480,656,1370.7
480,480,672,1315.72
480,480,688,1021.26
480,480,704,1355.38
480,480,720,1079.02
480,480,736,1141.15
480,480,752,1371.92
480,480,768,1091.7
480,480,784,1064.99
480,480,800,1429.25
480,480,816,1086.86
480,480,832,1096.07
480,480,848,1317.12
480,480,864,1185.24
480,480,880,1343.32
480,480,896,1113.76
480,480,912,1394.45
480,480,928,1374.83
480,480,944,1160.14
480,480,960,1348.92
480,480,976,1360.44
480,480,992,1072.62
480,480,1008,1353.13
512,512,16,947.166
512,512,32,949.372
512,512,48,1197.97
512,512,64,1217.42
512,512,80,1016.76
512,512,96,1168.22
512,512,112,1082.75
512,512,128,1067.32
512,512,144,1251.23
512,512,160,1060.89
512,512,176,1110.28
512,512,192,1068.41
512,512,208,1163.67
512,512,224,1104.71
512,512,240,1011.9
512,512,256,1260.66
512,512,272,1193.56
512,512,288,1055.15
512,512,304,1293.89
512,512,320,1180.25
512,512,336,1090.5
512,512,352,1187.58
512,512,368,1029.39
512,512,384,1186.23
512,512,400,1108.72
512,512,416,1267.65
512,512,432,1163.47
512,512,448,1102.38
512,512,464,1205.22
512,512,480,1185.52
512,512,496,1010.35
512,512,512,1309.13
512,512,528,1050.65
512,512,544,1082.01
512,512,560,1157.59
512,512,576,1254.55
512,512,592,992.729
512,512,608,1214.72
512,512,624,985.375
512,512,640,932.549
512,512,656,1114.65
512,512,672,1195.49
512,512,688,1282.16
512,512,704,969.831
512,512,720,1174.1
512,512,736,1260.12
512,512,752,972.222
512,512,768,1134.08
512,512,784,1295.99
512,512,800,979.813
512,512,816,1149.68
512,512,832,1208.9
512,512,848,886.6
512,512,864,1311.7
512,512,880,1046.31
512,512,896,1172.52
512,512,912,1034.5
512,512,928,1132.47
512,512,944,1188.35
512,512,960,974.375
512,512,976,1204.24
512,512,992,1132.15
512,512,1008,941.568
544,544,16,872.937
544,544,32,969.068
544,544,48,931.833
544,544,64,975.913
544,544,80,1035.42
544,544,96,1035.3
544,544,112,1216.43
544,544,128,983.923
544,544,144,1222.21
544,544,160,975.668
544,544,176,1205.53
